,raw,clean,lemmas,color,gender,keywords
39,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,skayvon submersibble three phase pump controller wired sensor security system,skayvon submersibble three phase pump controller wired sensor security system,[],[],phase pump security system skayvon submersibble 
40,Behringer Xenyx 502 Analog Sound Mixer,behringer xenyx 502 analog sound mixer,behringer xenyx 502 analog sound mixer,[],[],sound mixer analog sound behringer xenyx 
41,Roadster Men's Zipper Solid Cardigan,roadster mens zipper solid cardigan,roadster men zipper solid cardigan,[],[],men zipper solid cardigan roadster men 
42,Noor Embroidered Women's Straight Kurta,noor embroidered womens straight kurta,noor embroidered woman straight kurta,[],['woman'],embroidered woman straight kurta noor embroidered 
43,Libas Printed Women's A-line Kurta,libas printed womens aline kurta,libas printed woman aline kurta,[],['woman'],printed woman aline kurta libas printed 
44,Libas Printed Women's Anarkali Kurta,libas printed womens anarkali kurta,libas printed woman anarkali kurta,[],['woman'],printed woman anarkali kurta libas printed 
45,HRS ULTIMATE BOY Chest Pads,hrs ultimate boy chest pads,hr ultimate boy chest pad,[],['boy'],boy chest ultimate boy chest pad 
46,Vermello Men Casual Brown Genuine Leather Belt,vermello men casual brown genuine leather belt,vermello men casual brown genuine leather belt,['brown'],[],men casual leather belt vermello men 
47,HRS CLUB BOY Thigh Pads,hrs club boy thigh pads,hr club boy thigh pad,[],['boy'],boy thigh club boy thigh pad 
48,Ligans NY Men Formal Black Genuine Leather Belt,ligans ny men formal black genuine leather belt,ligan ny men formal black genuine leather belt,['black'],[],formal black men formal leather belt 
49,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,elegance polyester multicolor abstract eyelet door curtain,elegance polyester multicolor abstract eyelet door curtain,[],[],polyester multicolor door curtain elegance polyester 
50,Liza Women Wedges,liza women wedges,liza woman wedge,[],['woman'],liza woman wedge liza woman 
51,HRS ULTIMATE BOY Elbow Pads,hrs ultimate boy elbow pads,hr ultimate boy elbow pad,[],['boy'],boy elbow ultimate boy elbow pad 
52,Sathiyas Cotton Bath Towel,sathiyas cotton bath towel,sathiyas cotton bath towel,[],[],cotton bath bath towel sathiyas cotton 
53,HRS ULTIMATE MEN Chest Pads,hrs ultimate men chest pads,hr ultimate men chest pad,[],[],men chest ultimate men chest pad 
54,Eurospa Cotton Terry Face Towel Set,eurospa cotton terry face towel set,eurospa cotton terry face towel set,[],[],cotton terry towel set eurospa cotton 
55,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,santosh royal fashion cotton printed king sized double bedsheet,santosh royal fashion cotton printed king sized double bedsheet,[],[],royal fashion double bedsheet santosh royal 
56,CASEDEAL Microsoft Nokia lumia x2 Back Panel,casedeal microsoft nokia lumia x2 back panel,casedeal microsoft nokia lumia x2 back panel,[],[],nokia lumia casedeal microsoft back panel 
57,Mario Gotze Women's Printed Casual Orange Shirt,mario gotze womens printed casual orange shirt,mario gotze woman printed casual orange shirt,['orange'],['woman'],gotze woman orange shirt mario gotze 
58,Jaipur Print Cotton Floral King sized Double Bedsheet,jaipur print cotton floral king sized double bedsheet,jaipur print cotton floral king sized double bedsheet,[],[],print cotton double bedsheet jaipur print 
59,Shilpi NHSCN003 Coin Bank,shilpi nhscn003 coin bank,shilpi nhscn003 coin bank,[],[],coin shilpi coin bank 
60,Babeezworld Dungaree Baby Boy's  Combo,babeezworld dungaree baby boys  combo,babeezworld dungaree baby boy combo,[],"['boy', 'baby']",dungaree baby boy combo babeezworld dungaree 
61,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,redbag eight armed goddess sherawali maa showpiece    108 cm,redbag eight armed goddess sherawali maa showpiece 108 cm,[],[],goddess sherawali armed goddess maa showpiece 
62,"Proence Weight Gainers, Mass Gainers",proence weight gainers mass gainers,proence weight gainer mass gainer,[],[],gainer mass weight gainer proence weight 
63,Discountgod Men's Checkered Casual Shirt,discountgod mens checkered casual shirt,discountgod men checkered casual shirt,[],[],men checkered casual shirt discountgod men 
64,Silver Streak Men's Printed Casual Denim Shirt,silver streak mens printed casual denim shirt,silver streak men printed casual denim shirt,['silver'],[],streak men denim shirt silver streak 
65,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",cobra paris co6394a1 analog watch   for men boys,cobra paris co6394a1 analog watch for men boy,[],['boy'],men boy analog watch cobra paris 
66,TEN TEN Women's Black Knee Length Boots Boots,ten ten womens black knee length boots boots,ten ten woman black knee length boot boot,['black'],['woman'],knee length black knee woman black 
67,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",aries gold g 729 sbk analog watch   for men boys,aries gold g 729 sbk analog watch for men boy,['gold'],['boy'],men boy sbk analog aries gold 
68,Carlton Boots,carlton boots,carlton boot,[],[],boot carlton carlton boot 
69,Maserati Time R8851116001 Analog Watch  - For Boys,maserati time r8851116001 analog watch   for boys,maserati time r8851116001 analog watch for boy,[],['boy'],maserati analog watch maserati time 
70,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",vizion 8503b1red cold light digital watch   for boys girls,vizion 8503b1red cold light digital watch for boy girl,[],"['girl', 'boy']",boy girl cold light vizion 
71,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",camerii wm64 elegance analog watch   for men boys,camerii wm64 elegance analog watch for men boy,[],['boy'],men boy elegance analog camerii 
72,Reckler Slim Fit Men's Jeans,reckler slim fit mens jeans,reckler slim fit men jean,[],[],slim fit men jean reckler slim 
73,Quechua Arpenaz Novadry Boots,quechua arpenaz novadry boots,quechua arpenaz novadry boot,[],[],arpenaz novadry novadry boot quechua arpenaz 
74,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",colat colatmw20 sheen analog watch   for men women boys girls,colat colatmw20 sheen analog watch for men woman boy girl,[],"['girl', 'boy', 'woman']",boy girl sheen analog colat 
75,Steppings Trendy Boots,steppings trendy boots,steppings trendy boot,[],[],steppings trendy boot steppings trendy 
76,Rochees RW38 Analog Watch  - For Boys,rochees rw38 analog watch   for boys,rochees rw38 analog watch for boy,[],['boy'],analog analog watch rochees 
77,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",rorlig rr028 expedition analog watch   for men boys,rorlig rr028 expedition analog watch for men boy,[],['boy'],men boy expedition analog rorlig 
78,Catwalk Boots,catwalk boots,catwalk boot,[],[],boot catwalk catwalk boot 
79,Magnum Footwear Lifestyle,magnum footwear lifestyle,magnum footwear lifestyle,[],[],magnum footwear lifestyle magnum footwear 
80,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,t star ufttsw005bkbr analog watch   for boys,t star ufttsw005bkbr analog watch for boy,[],['boy'],analog star analog watch 
81,Rialto Boots,rialto boots,rialto boot,[],[],boot rialto rialto boot 
82,Kielz Ladies Boots,kielz ladies boots,kielz lady boot,[],[],kielz lady boot kielz lady 
83,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",alfajr wy16b youth digital watch   for men boys,alfajr wy16b youth digital watch for men boy,[],['boy'],men boy youth digital alfajr 
84,La Briza Ashley Boots,la briza ashley boots,la briza ashley boot,[],[],boot briza ashley ashley boot 
85,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",tag heuer cau1116ba0858 formula 1 analog watch   for boys men,tag heuer cau1116ba0858 formula 1 analog watch for boy men,[],['boy'],analog watch formula tag heuer 
86,Salt N Pepper 13-019 Femme Black Boots Boots,salt n pepper 13019 femme black boots boots,salt n pepper 13019 femme black boot boot,['black'],[],boot boot black boot femme black 
87,Shuz Touch Boots,shuz touch boots,shuz touch boot,[],[],shuz touch boot shuz touch 
88,Wrangler Skanders Fit Men's Jeans,wrangler skanders fit mens jeans,wrangler skanders fit men jean,[],[],skanders fit men jean wrangler skanders 
89,Salt N Pepper 14-664 Denny Black Boots Boots,salt n pepper 14664 denny black boots boots,salt n pepper 14664 denny black boot boot,['black'],[],boot boot black boot denny black 
90,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",costa swiss cs2001 analog watch   for boys men,costa swiss cs2001 analog watch for boy men,[],['boy'],boy men analog watch costa swiss 
91,Crocs Boots,crocs boots,crocs boot,[],[],boot crocs crocs boot 
92,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",breitling ab011010bb08 131s chronomat 44 analog watch   for boys men,breitling ab011010bb08 131s chronomat 44 analog watch for boy men,[],['boy'],analog watch chronomat breitling 
